Adjusted Time,Pack Power
0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0.517
1.35,0.517
1.4,0.516
1.45,0.516
1.5,1.032
1.55,1.03
1.6,1.03
1.65,1.03
1.7,1.545
1.75,1.542
1.8,1.542
1.85,2.052
1.9,2.052
1.95,2.052
2,2.048
2.05,2.048
2.1,2.048
2.15,2.048
2.2,2.048
2.25,2.048
2.3,2.56
2.35,2.56
2.4,2.56
2.45,2.555
2.5,3.066
2.55,3.066
2.6,3.066
2.65,3.06
2.7,3.06
2.75,3.57
2.8,3.57
2.85,3.563
2.9,3.563
2.95,3.563
3,3.563
3.05,4.064
3.1,4.064
3.15,4.064
3.2,4.064
3.25,4.064
3.3,4.572
3.35,4.572
3.4,4.563
3.45,4.563
3.5,4.563
3.55,4.563
3.6,5.06
3.65,5.06
3.7,5.05
3.75,5.05
3.8,5.05
3.85,5.555
3.9,5.555
3.95,5.555
4,5.555
4.05,6.048
4.1,6.048
4.15,6.048
4.2,6.048
4.25,6.036
4.3,6.036
4.35,6.036
4.4,6.036
4.45,6.024
4.5,6.526
4.55,6.526
4.6,6.539
4.65,6.526
4.7,7.028
4.75,7.028
4.8,7.014
4.85,7.014
4.9,7.014
4.95,7.014
5,7.014
5.05,7.515
5.1,7.515
5.15,7.5
5.2,7.014
5.25,7.028
5.3,7.028
5.35,7.028
5.4,6.526
5.45,6.036
5.5,5.544
5.55,5.544
5.6,5.544
5.65,5.544
5.7,5.04
5.75,5.04
5.8,4.545
5.85,4.048
5.9,3.549
5.95,3.048
6,2.545
6.05,2.55
6.1,2.55
6.15,2.545
6.2,2.545
6.25,2.55
6.3,2.04
6.35,2.55
6.4,2.55
6.45,3.054
6.5,3.556
6.55,4.056
6.6,4.056
6.65,3.549
6.7,3.549
6.75,4.048
6.8,4.545
6.85,5.04
6.9,6.048
6.95,6.539
7,7.028
7.05,8
7.1,8.982
7.15,9.443
7.2,10.395
7.25,12.844
7.3,14.268
7.35,14.7
7.4,14.181
7.45,13.176
7.5,12.225
7.55,11.76
7.6,11.293
7.65,10.824
7.7,10.846
7.75,10.846
7.8,11.339
7.85,11.293
7.9,11.27
7.95,11.76
8,11.76
8.05,11.76
8.1,11.76
8.15,11.293
8.2,10.824
8.25,10.824
8.3,10.824
8.35,10.824
8.4,10.824
8.45,9.86
8.5,9.386
8.55,9.88
8.6,9.88
8.65,9.386
8.7,9.405
8.75,9.386
8.8,9.386
8.85,9.386
8.9,9.405
8.95,9.424
9,9.424
9.05,9.424
9.1,8.928
9.15,7.92
9.2,6.448
9.25,5.489
9.3,3.521
9.35,1.018
9.4,-0.513
9.45,-0.513
9.5,-0.513
9.55,-0.514
9.6,-1.028
9.65,-0.514
9.7,-0.514
9.75,0
9.8,0
9.85,-0.514
9.9,-0.515
9.95,-0.515
10,-0.515
10.05,-0.515
10.1,-0.515
10.15,-0.515
10.2,-0.515
10.25,-0.515
10.3,0
10.35,0
10.4,0
10.45,0
10.5,-0.515
10.55,-0.515
10.6,0
10.65,0.515
10.7,1.542
10.75,2.56
10.8,3.563
10.85,5.07
10.9,6.06
10.95,6.539
11,7.014
11.05,7.984
11.1,8.449
11.15,8.928
11.2,8.91
11.25,8.928
11.3,8.928
11.35,8.928
11.4,8.928
11.45,8.928
11.5,8.928
11.55,8.432
11.6,7.936
11.65,6.461
11.7,5.467
11.75,4.97
11.8,3.992
11.85,3.012
11.9,1.518
11.95,0
12,-1.028
12.05,-0.514
12.1,-0.514
12.15,-0.514
12.2,-0.514
12.25,-0.514
12.3,-0.514
12.35,0
12.4,0
12.45,0.515
12.5,1.542
12.55,2.555
12.6,3.563
12.65,3.054
12.7,2.545
12.75,3.042
12.8,3.542
12.85,4.554
12.9,5.555
12.95,7.545
13,8.5
13.05,9.94
13.1,10.374
13.15,10.846
13.2,11.808
13.25,12.25
13.3,12.714
13.35,12.688
13.4,12.175
13.45,12.2
13.5,11.712
13.55,11.27
13.6,10.824
13.65,10.353
13.7,9.86
13.75,9.84
13.8,9.348
13.85,9.329
13.9,8.838
13.95,7.856
14,7.395
14.05,7.44
14.1,7.485
14.15,6.986
14.2,7
14.25,6
14.3,6
14.35,6.012
14.4,6.513
14.45,7
14.5,7.5
14.55,7.485
14.6,7.984
14.65,7.968
14.7,7.952
14.75,8.432
14.8,8.432
14.85,8.432
14.9,8.91
14.95,9.88
15,10.824
15.05,11.293
15.1,12.225
15.15,13.176
15.2,14.123
15.25,15.456
15.3,16.354
15.35,16.354
15.4,16.354
15.45,16.32
15.5,16.286
15.55,16.765
15.6,16.765
15.65,17.208
15.7,16.73
15.75,15.774
15.8,12.933
15.85,6.279
15.9,1.47
15.95,1.515
16,1.028
16.05,0
16.1,-1.026
16.15,-1.024
16.2,-1.026
16.25,-1.026
16.3,-1.539
16.35,-1.026
16.4,-0.513
16.45,-0.513
16.5,-0.513
16.55,-1.026
16.6,-1.028
16.65,-1.028
16.7,-1.028
16.75,-0.514
16.8,-0.514
16.85,-0.514
16.9,-0.514
16.95,-0.514
17,0
17.05,1.024
17.1,2.04
17.15,4.072
17.2,5.577
17.25,5.555
17.3,6.036
17.35,5.522
17.4,5.511
17.45,5
17.5,5
17.55,5.01
17.6,5.01
17.65,4.518
17.7,4.016
17.75,3.521
17.8,3.521
17.85,3.528
17.9,3.528
17.95,3.528
18,3.528
18.05,3.528
18.1,3.528
18.15,3.528
18.2,3.528
18.25,3.03
18.3,3.03
18.35,3.535
18.4,3.535
18.45,3.542
18.5,3.542
18.55,3.036
18.6,3.036
18.65,3.036
18.7,3.042
18.75,3.042
18.8,3.042
18.85,3.042
18.9,2.535
18.95,2.535
19,2.54
19.05,2.54
19.1,2.036
19.15,0.511
19.2,-0.513
19.25,-0.513
19.3,-0.513
19.35,-1.028
19.4,-0.513
19.45,0.511
19.5,1.53
19.55,2.04
19.6,2.545
19.65,2.535
19.7,2.53
19.75,2.53
19.8,3.036
19.85,3.036
19.9,3.542
19.95,3.542
20,3.535
20.05,3.535
20.1,4.04
20.15,4.032
20.2,4.536
20.25,4.032
20.3,4.536
20.35,5.04
20.4,5.533
20.45,6.513
20.5,6.5
20.55,6.513
20.6,6.012
20.65,6.012
20.7,5.511
20.75,5.522
20.8,5.03
20.85,5.03
20.9,5.03
20.95,5.03
21,5.533
21.05,5.522
21.1,6.012
21.15,6.012
21.2,6.012
21.25,6.012
21.3,6.012
21.35,5.511
21.4,5.511
21.45,5.511
21.5,5.522
21.55,5.522
21.6,5.522
21.65,5.522
21.7,5.01
21.75,5.01
21.8,4.5
21.85,4.509
21.9,5.01
21.95,5.01
22,5.02
22.05,5.01
22.1,5.511
22.15,5.511
22.2,5.511
22.25,6
22.3,6.487
22.35,6.972
22.4,7.455
22.45,8.449
22.5,8.928
22.55,8.432
22.6,8.415
22.65,8.415
22.7,8.415
22.75,8.91
22.8,8.91
22.85,8.415
22.9,8.398
22.95,8.415
23,8.415
23.05,8.415
23.1,8.415
23.15,8.415
23.2,8.415
23.25,8.91
23.3,8.91
23.35,8.91
23.4,8.415
23.45,8.892
23.5,8.91
